"Accession","SPC","SURFY","Town","Cunha","Diaz.Ramos"
"P35858",0,0,0,0,0
"Q6GMV1",0,0,0,0,0
"Q96F63",0,0,0,0,0
"Q16543",0,0,0,0,0
"P04083",1,0,1,0,0
"O14815",0,0,0,0,0
"Q6ZN30",0,0,0,0,0
"Q96I36",1,0,1,0,0
"O95170",0,0,0,0,0
"Q8N9R6",0,0,0,0,0
"Q96A70",0,0,0,0,0
"Q96T59",0,0,0,0,0
"Q96CG8",0,0,0,0,0
"Q86Y37",0,0,0,0,0
"Q13510",0,0,0,0,0
"P32929",0,0,0,0,0
"Q2M2I8",0,0,0,0,0
"P53396",0,0,0,0,0
"Q8IV38",0,0,0,0,0
"Q9H0P0",0,0,0,0,0
"P56277",0,0,0,0,0
"P49418",0,0,0,0,0
"Q9UMQ3",0,0,0,0,0
"Q9HBU1",0,0,0,0,0
"O43310",0,0,0,0,0
"Q9BXJ1",0,0,0,0,0
"Q8IUX4",0,0,0,0,0
"P11229",2,1,0,1,0
"Q9H553",1,0,1,0,0
"Q6UXY1",0,0,0,0,0
"Q12982",0,0,0,0,0
"P98196",2,0,1,1,0
"P26842",4,1,1,1,1
"Q8N129",0,0,0,0,0
"Q96LZ3",0,0,0,0,0
"Q5BLP8",0,0,0,0,0
"Q9BXC9",0,0,0,0,0
"Q9H4G1",0,0,0,0,0
"Q9Y2G3",1,0,1,0,0
"Q9UEY8",0,0,0,0,0
"Q15699",0,0,0,0,0
"P49419",0,0,0,0,0
"P35869",0,0,0,0,0
"Q5W188",0,0,0,0,0
"P33897",1,0,1,0,0
"Q9H694",0,0,0,0,0
"Q9NZU7",0,0,0,0,0
"P15848",1,0,1,0,0
"Q9H0Y0",0,0,0,0,0
"Q6Q6R5",0,0,0,0,0
"Q9UGJ0",0,0,0,0,0
"P08172",4,1,1,1,1
"E5RJM6",0,0,0,0,0
"Q9BXJ0",0,0,0,0,0
"Q96H22",0,0,0,0,0
"Q9HBH7",0,0,0,0,0
"Q96SZ5",0,0,0,0,0
"Q8TD16",0,0,0,0,0
"P21589",4,1,1,1,1
"Q13137",0,0,0,0,0
"P54707",1,0,0,1,0
"Q7Z7M1",3,1,1,1,0
"P54252",0,0,0,0,0
"Q14246",4,1,1,1,1
"P16278",0,0,0,0,0
"Q92485",0,0,0,0,0
"Q9Y3L3",0,0,0,0,0
"Q9BSQ5",0,0,0,0,0
"P06729",4,1,1,1,1
"P06881",0,0,0,0,0
"P55345",0,0,0,0,0
"Q9NWD9",0,0,0,0,0
"P49662",0,0,0,0,0
"Q96G97",0,0,0,0,0
"O75155",0,0,0,0,0
"P78314",0,0,0,0,0
"Q8WYA1",0,0,0,0,0
"P53004",0,0,0,0,0
"P53634",0,0,0,0,0
"Q16667",0,0,0,0,0
"P08908",3,1,1,1,0
"Q99618",0,0,0,0,0
"Q8IY22",0,0,0,0,0
"P30988",2,1,0,1,0
"Q96EY9",0,0,0,0,0
"Q8N5Z0",0,0,0,0,0
"P24385",0,0,0,0,0
"Q7L3B6",0,0,0,0,0
"P11049",4,1,1,1,1
"A2AJT9",0,0,0,0,0
"P15144",3,1,1,0,1
"Q96P50",0,0,0,0,0
"Q9GZX7",0,0,0,0,0
"Q8IZF2",3,1,1,1,0
"P42771",0,0,0,0,0
"Q92851",0,0,0,0,0
"Q16186",0,0,0,0,0
"Q4LEZ3",0,0,0,0,0
"Q8WXS3",0,0,0,0,0
"Q9Y4X5",0,0,0,0,0
"Q14032",0,0,0,0,0
"Q8NFJ8",0,0,0,0,0
"Q7RTS1",0,0,0,0,0
"Q16878",0,0,0,0,0
"P22362",0,0,0,0,0
"P55197",0,0,0,0,0
"P20248",0,0,0,0,0
"P51684",4,1,1,1,1
"P51693",3,1,1,1,0
"A6NCL7",0,0,0,0,0
"Q8TD06",0,0,0,0,0
"Q8TC27",3,1,1,1,0
"A0A087X1C5",0,0,0,0,0
"Q9Y6R9",0,0,0,0,0
"Q8TDY3",0,0,0,0,0
"Q96GE4",0,0,0,0,0
"Q13155",0,0,0,0,0
"Q8WXC6",0,0,0,0,0
"A0A1B0GUA9",0,0,0,0,0
"Q96LP6",0,0,0,0,0
"Q8WUX2",0,0,0,0,0
"P43353",0,0,0,0,0
"P57076",0,0,0,0,0
"Q15782",0,0,0,0,0
"A8MTZ7",0,0,0,0,0
"Q69YU5",0,0,0,0,0
"Q9Y6Z5",0,0,0,0,0
"P50406",3,1,1,1,0
"O75956",0,0,0,0,0
"P28332",0,0,0,0,0
"Q6NUI6",0,0,0,0,0
"Q92600",0,0,0,0,0
"Q9Y6N1",1,0,1,0,0
"P51816",0,0,0,0,0
"Q9HAY6",0,0,0,0,0
"Q9Y2G4",0,0,0,0,0
"Q86X02",0,0,0,0,0
"Q96P47",0,0,0,0,0
"Q7Z5W3",0,0,0,0,0
"Q6P1M9",0,0,0,0,0
"A8MQ03",0,0,0,0,0
"P31947",0,0,0,0,0
"Q6ZUT6",0,0,0,0,0
"Q8N769",0,0,0,0,0
"Q01850",0,0,0,0,0
"Q8WXQ3",0,0,0,0,0
"O00305",0,0,0,0,0
"P14635",0,0,0,0,0
"Q9UH17",0,0,0,0,0
"P55061",3,0,1,1,1
"P49711",0,0,0,0,0
"O14977",0,0,0,0,0
"P24387",0,0,0,0,0
"Q96P26",0,0,0,0,0
"Q9BZW8",3,1,1,0,1
"Q10588",2,1,0,0,1
"Q09428",3,0,1,1,1
"Q9BYV7",0,0,0,0,0
"Q9BT22",1,0,1,0,0
"A6NFN9",0,0,0,0,0
"O60512",1,0,1,0,0
"P09543",0,0,0,0,0
"Q7L4S7",0,0,0,0,0
"P01911",4,1,1,1,1
"A6NJG6",0,0,0,0,0
"Q96AK3",0,0,0,0,0
"Q10589",3,1,1,0,1
"O60238",1,0,1,0,0
"P63104",0,0,0,0,0
"P00326",0,0,0,0,0
"Q9H8Y5",0,0,0,0,0
"P10109",0,0,0,0,0
"Q6UXT9",0,0,0,0,0
"Q14155",0,0,0,0,0
"Q9BXJ4",0,0,0,0,0
"Q562R1",0,0,0,0,0
"Q9UHC3",1,0,1,0,0
"Q9UBV7",1,0,1,0,0
"Q12983",1,0,1,0,0
"Q8IUX7",0,0,0,0,0
"O60756",0,0,0,0,0
"P0C671",0,0,0,0,0
"Q9UBJ2",2,0,1,1,0
"P47710",0,0,0,0,0
"Q99700",0,0,0,0,0
"Q7Z465",0,0,0,0,0
"A7E2S9",0,0,0,0,0
"P0DMS8",3,0,1,1,1
"A8MUL3",0,0,0,0,0
"Q9P2G1",0,0,0,0,0
"Q93084",1,0,0,1,0
"O00327",0,0,0,0,0
"O95433",0,0,0,0,0
"B4E2M5",0,0,0,0,0
"Q9BYF1",4,1,1,1,1
"Q99873",0,0,0,0,0
"Q9NQ31",0,0,0,0,0
"Q9BU64",0,0,0,0,0
"Q9BXI9",0,0,0,0,0
"Q9H9E1",0,0,0,0,0
"Q99741",0,0,0,0,0
"Q99459",0,0,0,0,0
"Q96BI3",0,0,0,0,0
"A1A5D9",0,0,0,0,0
"Q9UKL3",0,0,0,0,0
"Q9NZM4",0,0,0,0,0
"P54107",0,0,0,0,0
"O15085",0,0,0,0,0
"Q96FT7",2,1,1,0,0
"O95671",0,0,0,0,0
"Q6P1N0",0,0,0,0,0
"Q5VV41",0,0,0,0,0
"P17174",0,0,0,0,0
"Q9NPB3",0,0,0,0,0
"O94989",0,0,0,0,0
"Q9HD20",2,1,0,1,0
"P09497",0,0,0,0,0
"P05814",0,0,0,0,0
"Q5T0F9",0,0,0,0,0
"Q96IX5",1,0,1,0,0
"Q8IW93",0,0,0,0,0
"P45844",3,0,1,1,1
"O60239",0,0,0,0,0
"Q8NFC6",0,0,0,0,0
"P57796",0,0,0,0,0
"Q9NQ11",3,1,1,1,0
"Q96DR7",0,0,0,0,0
"O15234",0,0,0,0,0
"P12821",4,1,1,1,1
"Q8IU53",0,0,0,0,0
"P49748",0,0,0,0,0
"Q6ZMU1",0,0,0,0,0
"Q4VC05",0,0,0,0,0
"P00813",1,0,1,0,0
"O95573",1,0,1,0,0
"P04234",3,1,1,0,1
"Q9NSY1",0,0,0,0,0
"Q5T2S8",0,0,0,0,0
"Q9ULC5",2,0,1,1,0
"Q13323",2,0,1,1,0
"Q96IK1",0,0,0,0,0
"Q9BUT1",0,0,0,0,0
"Q68CK6",0,0,0,0,0
"Q3I5F7",0,0,0,0,0
"P22003",0,0,0,0,0
"Q9UMX3",1,0,1,0,0
"P41002",0,0,0,0,0
"Q5T2E6",2,0,1,1,0
"P06727",0,0,0,0,0
"P30153",0,0,0,0,0
"P12236",1,0,1,0,0
"Q9H7X2",0,0,0,0,0
"P0C7X3",0,0,0,0,0
"Q9H993",0,0,0,0,0
"Q9ULW3",0,0,0,0,0
"Q9UNA0",0,0,0,0,0
"Q8IZP9",3,1,1,1,0
"Q96P48",0,0,0,0,0
"O00555",1,0,1,0,0
"Q8NC38",0,0,0,0,0
"Q86TL0",0,0,0,0,0
"Q6P575",0,0,0,0,0
"P50993",4,1,1,1,1
"Q86X52",1,0,1,0,0
"Q14002",1,1,0,0,0
"Q8TDL5",0,0,0,0,0
"Q96B36",0,0,0,0,0
"P11597",0,0,0,0,0
"Q9UIG0",0,0,0,0,0
"Q5BKT4",2,0,1,1,0
"Q6UX46",0,0,0,0,0
"Q8NHU0",0,0,0,0,0
"P30542",4,1,1,1,1
"Q70SY1",1,0,1,0,0
"Q9H6F5",0,0,0,0,0
"Q9NVE4",0,0,0,0,0
"Q7Z6B0",0,0,0,0,0
"O94805",0,0,0,0,0
"Q86TU6",0,0,0,0,0
"Q99941",1,0,1,0,0
"Q53HC0",0,0,0,0,0
"P51813",0,0,0,0,0
"Q9BRQ4",0,0,0,0,0
"Q8N9V6",0,0,0,0,0
"Q6ZTQ4",2,1,1,0,0
"Q567U6",0,0,0,0,0
"P51825",0,0,0,0,0
"P24941",0,0,0,0,0
"O75390",0,0,0,0,0
"Q2NKJ3",0,0,0,0,0
"Q8WXF5",0,0,0,0,0
"P51861",0,0,0,0,0
"O75746",0,0,0,0,0
"Q32Q52",0,0,0,0,0
"P51681",4,1,1,1,1
"Q95IE3",4,1,1,1,1
"Q86U02",1,0,0,1,0
"Q52M58",0,0,0,0,0
"Q5Y7A7",4,1,1,1,1
"P11836",4,1,1,1,1
"Q5VW22",0,0,0,0,0
"Q9GIY3",4,1,1,1,1
"P11802",0,0,0,0,0
"P45954",0,0,0,0,0
"Q9NY43",0,0,0,0,0
"P31941",0,0,0,0,0
"P07327",0,0,0,0,0
"Q9UJS0",0,0,0,0,0
"P00450",0,0,0,0,0
"P0DML3",0,0,0,0,0
"Q9UHI8",0,0,0,0,0
"P78348",2,1,1,0,0
"Q8N6N7",0,0,0,0,0
"A7E2U8",0,0,0,0,0
"Q9BXI3",0,0,0,0,0
"Q8NB90",0,0,0,0,0
"Q9NRW3",0,0,0,0,0
"P29275",4,1,1,1,1
"O75973",0,0,0,0,0
"Q9HCU0",4,1,1,1,1
"Q96GR2",0,0,0,0,0
"P10275",0,0,0,0,0
"Q9UKY3",0,0,0,0,0
"P54253",0,0,0,0,0
"Q9NSP4",0,0,0,0,0
"Q13085",0,0,0,0,0
"P52943",0,0,0,0,0
"O43741",0,0,0,0,0
"Q13443",4,1,1,1,1
"P10747",4,1,1,1,1
"O75689",0,0,0,0,0
"Q9NPF8",0,0,0,0,0
"Q13685",1,0,1,0,0
"Q06278",0,0,0,0,0
"Q8N5M1",0,0,0,0,0
"Q8NHS2",0,0,0,0,0
"Q4AC94",0,0,0,0,0
"P55087",3,1,1,1,0
"Q9BXY8",0,0,0,0,0
"Q92484",0,0,0,0,0
"Q9UGI9",0,0,0,0,0
"Q9NZD4",0,0,0,0,0
"Q92772",0,0,0,0,0
"P07510",2,1,0,1,0
"Q9BY15",3,1,0,1,1
"Q13542",0,0,0,0,0
"O60678",0,0,0,0,0
"Q9UG63",0,0,0,0,0
"Q9BUB4",0,0,0,0,0
"Q6ZSZ5",0,0,0,0,0
"Q969K4",0,0,0,0,0
"O14672",4,1,1,1,1
"Q9NRA8",0,0,0,0,0
"O00311",0,0,0,0,0
"Q07912",0,0,0,0,0
"P17405",0,0,0,0,0
"Q53GD3",3,1,1,1,0
"P41182",0,0,0,0,0
"Q04771",4,1,1,1,1
"Q6UW56",3,1,1,1,0
"Q9NZ45",1,0,1,0,0
"P05091",0,0,0,0,0
"Q9NRR3",0,0,0,0,0
"Q01518",0,0,0,0,0
"P12643",1,0,1,0,0
"Q9P296",4,1,1,1,1
"Q92843",1,0,0,1,0
"Q9NXR7",0,0,0,0,0
"Q8IZY5",0,0,0,0,0
"Q86TY3",3,1,1,1,0
"Q9UPM9",0,0,0,0,0
"Q9Y2G2",0,0,0,0,0
"Q7Z5M8",0,0,0,0,0
"O15444",0,0,0,0,0
"Q5JT78",0,0,0,0,0
"Q1MSJ5",0,0,0,0,0
"Q7L266",0,0,0,0,0
"O15084",0,0,0,0,0
"O75027",0,0,0,0,0
"Q8IZP0",0,0,0,0,0
"Q86SQ6",2,1,0,1,0
"Q6W349",0,0,0,0,0
"Q8WVL7",0,0,0,0,0
"Q86W74",2,0,1,1,0
"P0C7Q2",0,0,0,0,0
"Q676U5",0,0,0,0,0
"Q8NCV1",0,0,0,0,0
"Q5FVE4",0,0,0,0,0
"Q92482",3,0,1,1,1
"Q5TC04",0,0,0,0,0
"P98194",2,0,1,1,0
"P42127",0,0,0,0,0
"O75309",3,1,1,1,0
"Q9UJ99",3,1,1,1,0
"Q10567",0,0,0,0,0
"O76027",1,0,1,0,0
"Q5T0J3",0,0,0,0,0
"P56381",0,0,0,0,0
"P02760",1,0,1,0,0
"Q6UB99",0,0,0,0,0
"O75106",0,0,0,0,0
"Q9H3Y0",0,0,0,0,0
"Q6PGQ7",0,0,0,0,0
"P35612",0,0,0,0,0
"O75718",0,0,0,0,0
"P20023",4,1,1,1,1
"P04141",0,0,0,0,0
"O00590",3,1,0,1,1
"Q8IYR0",0,0,0,0,0
"Q8TCT0",0,0,0,0,0
"A6NKQ9",0,0,0,0,0
"P24588",0,0,0,0,0
"Q6NT52",0,0,0,0,0
"O43823",0,0,0,0,0
"P27544",1,0,1,0,0
"Q14008",0,0,0,0,0
"P0CG13",0,0,0,0,0
"Q5TG92",0,0,0,0,0
"Q8IU89",1,0,1,0,0
"Q9NP73",0,0,0,0,0
"Q9HC47",1,0,1,0,0
"O43918",0,0,0,0,0
"Q99728",0,0,0,0,0
"Q9UIV1",0,0,0,0,0
"P62258",0,0,0,0,0
"Q8NAA4",0,0,0,0,0
"Q9HA82",1,0,1,0,0
"P02768",0,0,0,0,0
"C9JDV5",0,0,0,0,0
"P61981",0,0,0,0,0
"Q5H9R4",1,0,1,0,0
"Q86Y33",0,0,0,0,0
"Q96P64",0,0,0,0,0
"O75881",0,0,0,0,0
"A6NIR3",0,0,0,0,0
"Q00526",0,0,0,0,0
"Q8NI51",0,0,0,0,0
"Q6ZW76",0,0,0,0,0
"Q9BV87",1,0,1,0,0
"Q9UNU6",1,0,1,0,0
"Q9NPY3",4,1,1,1,1
"Q9UHB7",0,0,0,0,0
"P78537",0,0,0,0,0
"A6NHC0",0,0,0,0,0
"Q8TAM1",0,0,0,0,0
"Q3B7I2",0,0,0,0,0
"P10523",0,0,0,0,0
"P42575",0,0,0,0,0
"Q5TCH4",0,0,0,0,0
"Q9BTV7",0,0,0,0,0
"P30043",0,0,0,0,0
"Q6ZW61",0,0,0,0,0
"Q8WUD6",3,1,1,1,0
"Q9Y4W6",1,0,1,0,0
"Q13795",0,0,0,0,0
"P25063",4,1,1,1,1
"Q96JM3",0,0,0,0,0
"Q96J66",2,1,1,0,0
"O15144",0,0,0,0,0
"Q5ZPR3",4,1,1,1,1
"Q9NR80",0,0,0,0,0
"Q9UHR4",0,0,0,0,0
"Q9BT09",0,0,0,0,0
"Q9NZV1",3,1,1,1,0
"Q5H9B9",0,0,0,0,0
"Q12774",0,0,0,0,0
"Q9H7C9",0,0,0,0,0
"A6NGH8",0,0,0,0,0
"Q96AP0",0,0,0,0,0
"Q0VF96",0,0,0,0,0
"Q99708",0,0,0,0,0
"Q15052",0,0,0,0,0
"Q6NVV9",0,0,0,0,0
"Q969T7",0,0,0,0,0
"P42574",0,0,0,0,0
"Q9HC16",0,0,0,0,0
"Q9P1Z2",0,0,0,0,0
"P01023",0,0,0,0,0
"O75419",0,0,0,0,0
"Q9UBX8",1,0,1,0,0
"Q8WWM7",0,0,0,0,0
"O00763",0,0,0,0,0
"Q13410",4,1,1,1,1
"P16615",1,0,0,1,0
"O00203",0,0,0,0,0
"A8K2U0",0,0,0,0,0
"Q6ZRC1",0,0,0,0,0
"P35613",4,1,1,1,1
"P08588",3,1,1,1,0
"O75173",0,0,0,0,0
"Q6ZN18",0,0,0,0,0
"P28288",1,0,1,0,0
"Q9P021",0,0,0,0,0
"Q9H2A2",0,0,0,0,0
"Q719I0",0,0,0,0,0
"Q8WWI5",4,1,1,1,1
"O43307",0,0,0,0,0
"Q9NWT8",0,0,0,0,0
"P28838",0,0,0,0,0
"Q86VP6",0,0,0,0,0
"C9J302",0,0,0,0,0
"Q9H9L7",0,0,0,0,0
"P80723",0,0,0,0,0
"Q00994",0,0,0,0,0
"Q9NT62",0,0,0,0,0
"Q9H845",0,0,0,0,0
"Q53TS8",0,0,0,0,0
"O15265",0,0,0,0,0
"P11310",0,0,0,0,0
"Q5H9J7",0,0,0,0,0
"P62952",2,0,1,1,0
"Q156A1",0,0,0,0,0
"P51878",0,0,0,0,0
"Q6P1J9",0,0,0,0,0
"O95999",0,0,0,0,0
"Q8WTP8",0,0,0,0,0
"P21127",0,0,0,0,0
"Q6DHV5",0,0,0,0,0
"Q9NP86",0,0,0,0,0
"Q8N2Z9",0,0,0,0,0
"Q8NCS7",3,1,1,1,0
"Q8NDY3",0,0,0,0,0
"P16671",4,1,1,1,1
"P36896",4,1,1,1,1
"P28222",3,1,1,1,0
"Q8WXH4",0,0,0,0,0
"O95393",1,0,1,0,0
"P08910",1,0,1,0,0
"P30279",0,0,0,0,0
"O95336",0,0,0,0,0
"Q9NUB1",0,0,0,0,0
"P09693",4,1,1,1,1
"Q5T8D3",2,0,1,1,0
"P42773",0,0,0,0,0
"Q9BZZ5",0,0,0,0,0
"Q8TBG4",0,0,0,0,0
"Q6ZT62",0,0,0,0,0
"P18075",0,0,0,0,0
"Q9UNA3",1,0,1,0,0
"Q9NPC4",1,0,1,0,0
"P56134",1,0,1,0,0
"Q9H6R3",0,0,0,0,0
"P41180",4,1,1,1,1
"O00238",3,0,1,1,1
"Q96S94",0,0,0,0,0
"A5PLL1",0,0,0,0,0
"P36405",0,0,0,0,0
"O43423",0,0,0,0,0
"O43306",3,1,0,1,1
"P15336",0,0,0,0,0
"P18859",0,0,0,0,0
"Q8NBQ7",2,0,1,1,0
"Q99217",1,0,1,0,0
"P54851",3,1,1,1,0
"Q96EE4",0,0,0,0,0
"P48052",0,0,0,0,0
"Q9P203",0,0,0,0,0
"Q9UBN1",3,1,1,1,0
"Q8NHS4",0,0,0,0,0
"Q96LX7",0,0,0,0,0
"P56746",3,1,1,1,0
"Q14201",0,0,0,0,0
"Q6P387",0,0,0,0,0
"O14936",0,0,0,0,0
"P08185",0,0,0,0,0
"P50416",1,0,1,0,0
"Q9Y294",0,0,0,0,0
"Q15847",0,0,0,0,0
"Q8WW14",0,0,0,0,0
"Q5EBM0",0,0,0,0,0
"P41597",4,1,1,1,1
"Q8N0X4",0,0,0,0,0
"P19835",0,0,0,0,0
"Q96B45",0,0,0,0,0
"Q9H8M5",2,1,0,1,0
"Q96SN8",0,0,0,0,0
"Q8N998",0,0,0,0,0
"P57730",0,0,0,0,0
"Q9BYE9",2,1,1,0,0
"Q96JD6",0,0,0,0,0
"Q96M19",1,0,0,1,0
"Q495B1",0,0,0,0,0
