Accession,GeneName
O15439,ABCC4
O15440,ABCC5
O15455,TLR3
O15466,ST8SIA5
O15482,TEX28
O15484,CAPN5
O15503,INSIG1
O15520,FGF10
O15529,GPR42
O15533,TAPBP
O15547,P2RX6
O15551,CLDN3
O15552,FFAR2
O15554,KCNN4
O42043,ERVK-18
O43155,FLRT2
O43157,PLXNB1
O43169,CYB5B
O43173,ST8SIA3
O43184,ADAM12
O43193,MLNR
O43194,GPR39
O43246,SLC7A4
O43278,SPINT1
O43280,TREH
O43286,B4GALT5
O43291,SPINT2
O43292,GPAA1
O43300,LRRTM2
O43306,ADCY6
O43315,AQP9
O43424,GRID2
O43451,MGAM
O43462,MBTPS2
O43464,HTRA2
O43490,PROM1
O43493,TGOLN2
O43497,CACNA1G
O43505,B4GAT1
O43506,ADAM20
O43508,TNFSF12
O43511,SLC26A4
O43520,ATP8B1
O43525,KCNQ3
O43526,KCNQ2
O43529,CHST10
O43556,SGCE
O43557,TNFSF14
O43561,LAT
O43567,RNF13
O43570,CA12
O43581,SYT7
O43586,PSTPIP1
O43603,GALR2
O43613,HCRTR1
O43614,HCRTR2
O43653,PSCA
O43657,TSPAN6
O43674,NDUFB5
O43676,NDUFB3
O43688,PLPP2
O43699,SIGLEC6
O43731,KDELR3
O43736,ITM2A
O43749,OR1F1
O43752,STX6
O43759,SYNGR1
O43760,SYNGR2
O43761,SYNGR3
O43772,SLC25A20
O43808,SLC25A17
O43813,LANCL1
O43825,B3GALT2
O43826,SLC37A4
O43847,NRDC
O43861,ATP9B
O43868,SLC28A2
O43869,OR2T1
O43889,CREB3
O43895,XPNPEP2
O43908,KLRC4
O43909,EXTL3
O43914,TYROBP
O43916,CHST1
O43921,EFNA2
O43934,MFSD11
O60235,TMPRSS11D
O60238,BNIP3L
O60241,ADGRB2
O60242,ADGRB3
O60243,HS6ST1
O60245,PCDH7
O60266,ADCY3
O60279,SUSD5
O60309,LRRC37A3
O60312,ATP10A
O60313,OPA1
O60320,FAM189A1
O60330,PCDHGA12
O60337,6-Mar
O60343,TBC1D4
O60353,FZD6
O60359,CACNG3
O60391,GRIN3B
O60403,OR10H2
O60404,OR10H3
O60412,OR7C2
O60423,ATP8B3
O60427,FADS1
O60431,OR1I1
O60449,LY75
O60462,NRP2
O60469,DSCAM
O60476,MAN1A2
O60478,GPR137B
O60486,PLXNC1
O60487,MPZL2
O60488,ACSL4
O60494,CUBN
O60499,STX10
O60500,NPHS1
O60503,ADCY9
O60507,TPST1
O60512,B4GALT3
O60513,B4GALT4
O60602,TLR5
O60603,TLR2
O60609,GFRA3
O60635,TSPAN1
O60636,TSPAN2
O60637,TSPAN3
O60656,UGT1A9
O60667,FCMR
O60669,SLC16A7
O60676,CST8
O60687,SRPX2
O60704,TPST2
O60706,ABCC9
O60721,SLC24A1
O60741,HCN1
O60755,GALR3
O60774,FMO6P
O60779,SLC19A2
O60830,TIMM17B
O60831,PRAF2
O60840,CACNA1F
O60858,TRIM13
O60883,GPR37L1
O60894,RAMP1
O60895,RAMP2
O60896,RAMP3
O60906,SMPD2
O60909,B4GALT2
O60911,CTSV
O60928,KCNJ13
O60931,CTNS
O60939,SCN2B
O71037,ERVK-19
O75015,FCGR3B
O75019,LILRA1
O75022,LILRB3
O75023,LILRB5
O75051,PLXNA2
O75054,IGSF3
O75056,SDC3
O75063,FAM20B
O75069,TMCC2
O75072,FKTN
O75074,LRP3
O75077,ADAM23
O75078,ADAM11
O75084,FZD7
O75096,LRP4
O75110,ATP9A
O75121,MFAP3L
O75129,ASTN2
O75144,ICOSLG
O75145,PPFIA3
O75154,RAB11FIP3
O75185,ATP2C2
O75192,PEX11A
O75197,LRP5
O75204,TMEM127
O75264,SMIM24
O75298,RTN2
O75309,CDH16
O75310,UGT2B11
O75311,GLRA3
O75324,SNN
O75325,LRRN2
O75326,SEMA7A
O75330,HMMR
O75334,PPFIA2
O75335,PPFIA4
O75352,MPDU1
O75354,ENTPD6
O75355,ENTPD3
O75379,VAMP4
O75387,SLC43A1
O75388,GPR32
O75396,SEC22B
O75425,MOSPD3
O75427,LRCH4
O75438,NDUFB1
O75443,TECTA
O75445,USH2A
O75452,RDH16
O75473,LGR5
O75477,ERLIN1
O75487,GPC4
O75508,CLDN11
O75509,TNFRSF21
O75578,ITGA10
O75581,LRP6
O75631,UPK3A
O75712,GJB3
O75751,SLC22A3
O75752,B3GALNT1
O75762,TRPA1
O75783,RHBDL1
O75787,ATP6AP2
O75829,CNMD
O75841,UPK1B
O75844,ZMPSTE24
O75845,SC5D
O75871,CEACAM4
O75882,ATRN
O75888,TNFSF13
O75899,GABBR2
O75900,MMP23A
O75908,SOAT2
O75915,ARL6IP5
O75920,SERF1A
O75923,DYSF
O75935,DCTN3
O75954,TSPAN9
O75955,FLOT1
O75976,CPD
O76000,OR2B3
O76001,OR2J3
O76002,OR2J2
O76024,WFS1
O76027,ANXA9
O76036,NCR1
O76062,TM7SF2
O76082,SLC22A5
O76090,BEST1
O76095,JTB
O76099,OR7C1
O76100,OR7A10
O94759,TRPM2
O94766,B3GAT3
O94772,LY6H
O94777,DPM2
O94778,AQP8
O94779,CNTN5
O94813,SLIT2
O94823,ATP10B
O94826,TOMM70
O94856,NFASC
O94876,TMCC1
O94886,TMEM63A
O94898,LRIG2
O94901,SUN1
O94905,ERLIN2
O94910,ADGRL1
O94911,ABCA8
O94923,GLCE
O94933,SLITRK3
O94956,SLCO2B1
O94966,USP19
O94985,CLSTN1
O94991,SLITRK5
O95006,OR2F2
O95007,OR6B1
O95013,OR4F21
O95047,OR2A4
O95069,KCNK2
O95070,YIF1A
O95136,S1PR2
O95139,NDUFB6
O95140,MFN2
O95150,TNFSF15
O95159,ZFPL1
O95167,NDUFA3
O95168,NDUFB4
O95169,NDUFB8
O95180,CACNA1H
O95183,VAMP5
O95185,UNC5C
O95196,CSPG5
O95202,LETM1
O95206,PCDH8
O95210,STBD1
O95214,LEPROTL1
O95221,OR5F1
O95222,OR6A2
O95237,LRAT
O95249,GOSR1
O95255,ABCC6
O95256,IL18RAP
O95259,KCNH1
O95264,HTR3B
O95274,LYPD3
O95279,KCNK5
O95292,VAPB
O95297,MPZL1
O95298,NDUFC2
O95342,ABCB11
O95371,OR2C1
O95377,GJB5
O95393,BMP10
O95395,GCNT3
O95406,CNIH1
O95415,BRI3
O95425,SVIL
O95427,PIGN
O95436,SLC34A2
O95452,GJB6
O95461,LARGE1
O95470,SGPL1
O95471,CLDN7
O95473,SYNGR4
O95476,CTDNEP1
O95477,ABCA1
O95484,CLDN9
O95490,ADGRL2
O95497,VNN1
O95498,VNN2
O95500,CLDN14
O95502,NPTXR
O95528,SLC2A10
O95562,SFT2D2
O95573,ACSL3
O95622,ADCY5
O95630,STAMBP
O95665,NTSR2
O95672,ECEL1
O95727,CRTAM
O95754,SEMA4F
O95772,STARD3NL
O95800,GPR75
O95803,NDST3
O95807,TMEM50A
O95832,CLDN1
O95833,CLIC3
O95834,EML2
O95838,GLP2R
O95857,TSPAN13
O95858,TSPAN15
O95859,TSPAN12
O95864,FADS2
O95866,MPIG6B
O95867,LY6G6C
O95868,LY6G6D
O95870,ABHD16A
O95907,SLC16A8
O95918,OR2H2
O95925,EPPIN
O95944,NCR2
O95971,CD160
O95976,IGSF6
O95977,S1PR4
O95980,RECK
O95992,CH25H
O96002,CXorf1
O96005,CLPTM1
O96011,PEX11B
O96024,B3GALT4
P00156,MT-CYB
P00167,CYB5A
P00390,GSR
P00395,MT-CO1
P00403,MT-CO2
P00533,EGFR
P00742,F10
P00747,PLG
P00749,PLAU
P00750,PLAT
P00813,ADA
P00846,MT-ATP6
P01127,PDGFB
P01130,LDLR
P01133,EGF
P01135,TGFA
P01137,TGFB1
P01374,LTA
P01375,TNF
P01579,IFNG
P01588,EPO
P01589,IL2RA
P01730,CD4
P01732,CD8A
P01833,PIGR
P01848,TRAC
P01850,TRBC1
P01871,IGHM
P01880,IGHD
P01889,HLA-B
P01891,HLA-A
P01892,HLA-A
P01893,HLA-H
P01903,HLA-DRA
P01906,HLA-DQA2
P01909,HLA-DQA1
P01911,HLA-DRB1
P01912,HLA-DRB1
P01920,HLA-DQB1
P02511,CRYAB
P02647,APOA1
P02649,APOE
P02671,FGA
P02675,FGB
P02679,FGG
P02708,CHRNA1
P02724,GYPA
P02730,SLC4A1
P02748,C9
P02749,APOH
P02760,AMBP
P02778,CXCL10
P02786,TFRC
P02787,TF
P03886,MT-ND1
P03915,MT-ND5
P03923,MT-ND6
P03928,MT-ATP8
P03986,TRGC2
P03989,HLA-B
P03999,OPN1SW
P04000,OPN1LW
P04001,OPN1MW
P04035,HMGCR
P04054,PLA2G1B
P04083,ANXA1
P04085,PDGFA
P04156,PRNP
P04180,LCAT
P04201,MAS1
P04216,THY1
P04222,HLA-C
P04229,HLA-DRB1
P04233,CD74
P04234,CD3D
P04275,VWF
P04439,HLA-A
P04440,HLA-DPB1
P04626,ERBB2
P04628,WNT1
P04629,NTRK1
P04839,CYBB
P04843,RPN1
P04844,RPN2
P04920,SLC4A2
P04921,GYPC
P05023,ATP1A1
P05026,ATP1B1
P05067,APP
P05106,ITGB3
P05107,ITGB2
P05112,IL4
P05141,SLC25A5
P05154,SERPINA5
P05186,ALPL
P05187,ALPP
P05231,IL6
P05362,ICAM1
P05496,ATP5MC1
P05534,HLA-A
P05538,HLA-DQB2
P05556,ITGB1
P05981,HPN
P06028,GYPB
P06126,CD1A
P06127,CD5
P06213,INSR
P06276,BCHE
P06340,HLA-DOA
P06576,ATP5F1B
P06729,CD2
P06731,CEACAM5
P06734,FCER2
P06756,ITGAV
P06858,LPL
P07093,SERPINE2
P07099,EPHX1
P07202,TPO
P07204,THBD
P07306,ASGR1
P07307,ASGR2
P07333,CSF1R
P07355,ANXA2
P07359,GP1BA
P07510,CHRNG
P07550,ADRB2
P07766,CD3E
P07858,CTSB
P07911,UMOD
P07949,RET
P07996,THBS1
P08034,GJB1
P08069,IGF1R
P08100,RHO
P08134,RHOC
P08138,NGFR
P08172,CHRM2
P08173,CHRM4
P08174,CD55
P08183,ABCB1
P08195,SLC3A2
P08238,HSP90AB1
P08246,ELANE
P08247,SYP
P08311,CTSG
P08473,MME
P08514,ITGA2B
P08571,CD14
P08574,CYC1
P08575,PTPRC
P08581,MET
P08582,MELTF
P08588,ADRB1
P08637,FCGR3A
P08648,ITGA5
P08684,CYP3A4
P08697,SERPINF2
P08758,ANXA5
P08842,STS
P08887,IL6R
P08908,HTR1A
P08910,ABHD2
P08912,CHRM5
P08913,ADRA2A
P08922,ROS1
P08962,CD63
P08F94,PKHD1
P09131,SLC10A3
P09172,DBH
P09326,CD48
P09382,LGALS1
P09429,HMGB1
P09486,SPARC
P09525,ANXA4
P09564,CD7
P09603,CSF1
P09619,PDGFRB
P09669,COX6C
P09693,CD3G
P09758,TACSTD2
P09848,LCT
P09912,IFI6
P09923,ALPI
P09958,FURIN
P0C604,OR4A8
P0C617,OR5AL1
P0C623,OR4Q2
P0C626,OR5G3
P0C628,OR5AC1
P0C629,OR10J4
P0C645,OR4E1
P0C646,OR52Z1
P0C672,TSPAN19
P0C6S8,LINGO3
P0C6T2,OST4
P0C7M8,CLEC2L
P0C7N1,OR8U8
P0C7N4,TMEM191B
P0C7N5,OR8U9
P0C7N8,OR9G9
P0C7Q5,SLC35G4
P0C7Q6,SLC35G6
P0C7T2,OR2T7
P0C7T3,OR56A5
P0C7T8,TMEM253
P0C7U0,ELFN1
P0C7U3,ZDHHC11B
P0C7U9,FAM87A
P0C7V7,SEC11B
P0C851,PIRT
P0C874,SPATA31D3
P0CF51,TRGC1
P0CG08,GPR89B
P0CG37,CFC1
P0CG41,CTAGE8
P0CK96,SLC35E2B
P0CK97,SLC35E2
P0DKB5,TPBGL
P0DKB6,MPC1L
P0DKV0,SPATA31C1
P0DMQ5,INAFM2
P0DMS8,ADORA3
P0DN77,OPN1MW2
P0DPA2,VSIG8
P0DPD6,ECE2
P10176,COX8A
P10276,RARA
P10314,HLA-A
P10316,HLA-A
P10319,HLA-B
P10321,HLA-C
P10415,BCL2
P10586,PTPRF
P10600,TGFB3
P10620,MGST1
P10646,TFPI
P10696,ALPPL2
P10721,KIT
P10747,CD28
P10809,HSPD1
P10912,GHR
P10966,CD8B
P11021,HSPA5
P11049,CD37
P11117,ACP2
P11166,SLC2A1
P11168,SLC2A2
P11169,SLC2A3
P11215,ITGAM
P11226,MBL2
P11229,CHRM1
P11230,CHRNB1
P11233,RALA
P11245,NAT2
P11277,SPTB
P11279,LAMP1
P11362,FGFR1
P11464,PSG1
P11532,DMD
P11686,SFTPC
P11717,IGF2R
P11836,MS4A1
P11912,CD79A
P12018,VPREB1
P12235,SLC25A4
P12236,SLC25A6
P12314,FCGR1A
P12318,FCGR2A
P12319,FCER1A
P12643,BMP2
P12821,ACE
P12830,CDH1
P13164,IFITM1
P13224,GP1BB
P13385,TDGF1
P13473,LAMP2
P13569,CFTR
P13591,NCAM1
P13598,ICAM2
P13612,ITGA4
P13637,ATP1A3
P13667,PDIA4
P13688,CEACAM1
P13726,F3
P13746,HLA-A
P13747,HLA-E
P13760,HLA-DRB1
P13761,HLA-DRB1
P13762,HLA-DRB4
P13765,HLA-DOB
P13866,SLC5A1
P13945,ADRB3
P13987,CD59
P14060,HSD3B1
P14091,CTSE
P14151,SELL
P14174,MIF
P14207,FOLR2
P14209,CD99
P14384,CPM
P14410,SI
P14415,ATP1B2
P14416,DRD2
P14616,INSRR
P14672,SLC2A4
P14679,TYR
P14735,IDE
P14770,GP9
P14778,IL1R1
P14784,IL2RB
P14867,GABRA1
P15144,ANPEP
P15151,PVR
P15260,IFNGR1
P15289,ARSA
P15291,B4GALT1
P15328,FOLR1
P15382,KCNE1
P15391,CD19
P15421,GYPE
P15502,ELN
P15509,CSF2RA
P15514,AREG
P15529,CD46
P15692,VEGFA
P15812,CD1E
P15813,CD1D
P15814,IGLL1
P15848,ARSB
P15907,ST6GAL1
P15941,MUC1
P15954,COX7C
P16035,TIMP2
P16066,NPR1
P16070,CD44
P16109,SELP
P16144,ITGB4
P16150,SPN
P16188,HLA-A
P16189,HLA-A
P16190,HLA-A
P16234,PDGFRA
P16260,SLC25A16
P16284,PECAM1
P16389,KCNA2
P16410,CTLA4
P16422,EPCAM
P16442,ABO
P16444,DPEP1
P16471,PRLR
P16473,TSHR
P16581,SELE
P16615,ATP2A2
P16662,UGT2B7
P16671,CD36
P16871,IL7R
P17152,TMEM11
P17181,IFNAR1
P17301,ITGA2
P17302,GJA1
P17342,NPR3
P17643,TYRP1
P17658,KCNA6
P17693,HLA-G
P17706,PTPN2
P17787,CHRNB2
P17813,ENG
P17861,XBP1
P17927,CR1
P17931,LGALS3
P17948,FLT1
P18031,PTPN1
P18084,ITGB5
P18089,ADRA2B
P18405,SRD5A1
P18428,LBP
P18433,PTPRA
P18462,HLA-A
P18463,HLA-B
P18464,HLA-B
P18465,HLA-B
P18505,GABRB1
P18507,GABRG2
P18564,ITGB6
P18577,RHCE
P18627,LAG3
P18825,ADRA2C
P18827,SDC1
P18850,ATF6
P19013,KRT4
P19021,PAM
P19022,CDH2
P19075,TSPAN8
P19224,UGT1A6
P19235,EPOR
P19256,CD58
P19320,VCAM1
P19397,CD53
P19438,TNFRSF1A
P19440,GGT1
P19526,FUT1
P19634,SLC9A1
P20020,ATP2B1
P20023,CR2
P20036,HLA-DPA1
P20039,HLA-DRB1
P20138,CD33
P20273,CD22
P20292,ALOX5AP
P20309,CHRM3
P20333,TNFRSF1B
P20594,NPR2
P20645,M6PR
P20648,ATP4A
P20701,ITGAL
P20702,ITGAX
P20827,EFNA1
P20916,MAG
P20963,CD247
P21145,MAL
P21217,FUT3
P21397,MAOA
P21439,ABCB4
P21452,TACR2
P21453,S1PR1
P21462,FPR1
P21554,CNR1
P21579,SYT1
P21583,KITLG
P21589,NT5E
P21709,EPHA1
P21728,DRD1
P21730,C5AR1
P21731,TBXA2R
P21754,ZP3
P21757,MSR1
P21796,VDAC1
P21802,FGFR2
P21810,BGN
P21817,RYR1
P21854,CD72
P21860,ERBB3
P21917,DRD4
P21918,DRD5
P21926,CD9
P21964,COMT
P22001,KCNA3
P22083,FUT4
P22223,CDH3
P22303,ACHE
P22413,ENPP1
P22455,FGFR4
P22459,KCNA4
P22460,KCNA5
P22607,FGFR3
P22732,SLC2A5
P22748,CA4
P22760,AADAC
P22794,EVI2A
P22888,LHCGR
P22897,MRC1
P23229,ITGA6
P23276,KEL
P23415,GLRA1
P23416,GLRA2
P23443,RPS6KB1
P23467,PTPRB
P23468,PTPRD
P23469,PTPRE
P23470,PTPRG
P23471,PTPRZ1
P23510,TNFSF4
P23515,OMG
P23634,ATP2B4
P23763,VAMP1
P23942,PRPH2
P23945,FSHR
P23975,SLC6A2
P24046,GABRR1
P24071,FCAR
P24158,PRTN3
P24310,COX7A1
P24311,COX7B
P24390,KDELR1
P24394,IL4R
P24530,EDNRB
P24557,TBXAS1
P24666,ACP1
P25021,HRH2
P25024,CXCR1
P25025,CXCR2
P25063,CD24
P25089,FPR3
P25090,FPR2
P25092,GUCY2C
P25100,ADRA1D
P25101,EDNRA
P25103,TACR1
P25105,PTAFR
P25106,ACKR3
P25116,F2R
P25189,MPZ
P25445,FAS
P25874,UCP1
P25929,NPY1R
P25942,CD40
P26006,ITGA3
P26010,ITGB7
P26012,ITGB8
P26439,HSD3B2
P26572,MGAT1
P26678,PLN
P26715,KLRC1
P26717,KLRC2
P26718,KLRK1
P26842,CD27
P26951,IL3RA
P26992,CNTFR
P27037,ACVR2A
P27105,STOM
P27338,MAOB
P27449,ATP6V0C
P27487,DPP4
P27544,CERS1
P27701,CD82
P27797,CALR
P27824,CANX
P27930,IL1R2
P28067,HLA-DMA
P28068,HLA-DMB
P28221,HTR1D
P28222,HTR1B
P28223,HTR2A
P28288,ABCD3
P28328,PEX2
P28335,HTR2C
P28336,NMBR
P28472,GABRB3
P28476,GABRR2
P28566,HTR1E
P28827,PTPRM
P28845,HSD11B1
P28906,CD34
P28907,CD38
P28908,TNFRSF8
P29016,CD1B
P29017,CD1C
P29033,GJB2
P29122,PCSK6
P29274,ADORA2A
P29275,ADORA2B
P29317,EPHA2
P29320,EPHA3
P29322,EPHA8
P29323,EPHB2
P29371,TACR3
P29376,LTK
P29965,CD40LG
P29972,AQP1
P29973,CNGA1
P30040,ERP29
P30101,PDIA3
P30203,CD6
P30273,FCER1G
P30301,MIP
P30408,TM4SF1
P30411,BDKRB2
P30443,HLA-A
P30447,HLA-A
P30450,HLA-A
P30453,HLA-A
P30455,HLA-A
P30456,HLA-A
P30457,HLA-A
P30459,HLA-A
P30460,HLA-B
P30461,HLA-B
P30462,HLA-B
P30464,HLA-B
P30466,HLA-B
P30475,HLA-B
P30479,HLA-B
P30480,HLA-B
P30481,HLA-B
P30483,HLA-B
P30484,HLA-B
P30485,HLA-B
P30486,HLA-B
P30487,HLA-B
P30488,HLA-B
P30490,HLA-B
P30491,HLA-B
P30492,HLA-B
P30493,HLA-B
P30495,HLA-B
P30498,HLA-B
P30499,HLA-C
P30501,HLA-C
P30504,HLA-C
P30505,HLA-C
P30508,HLA-C
P30510,HLA-C
P30511,HLA-F
P30512,HLA-A
P30518,AVPR2
P30530,AXL
P30531,SLC6A1
P30532,CHRNA5
P30533,LRPAP1
P30536,TSPO
P30542,ADORA1
P30550,GRPR
P30556,AGTR1
P30559,OXTR
P30685,HLA-B
P30825,SLC7A1
P30872,SSTR1
P30874,SSTR2
P30926,CHRNB4
P30939,HTR1F
P30953,OR1E1
P30954,OR10J1
P30968,GNRHR
P30988,CALCR
P30989,NTSR1
P31358,CD52
P31391,SSTR4
P31431,SDC4
P31512,FMO4
P31639,SLC5A2
P31641,SLC6A6
P31644,GABRA5
P31645,SLC6A4
P31785,IL2RG
P31994,FCGR2B
P31995,FCGR2C
P31997,CEACAM8
P32004,L1CAM
P32238,CCKAR
P32239,CCKBR
P32241,VIPR1
P32245,MC4R
P32246,CCR1
P32247,BRS3
P32248,CCR7
P32249,GPR183
P32297,CHRNA3
P32302,CXCR5
P32418,SLC8A1
P32745,SSTR3
P32856,STX2
P32926,DSG3
P32927,CSF2RB
P32942,ICAM3
P32970,CD70
P32971,TNFSF8
P33032,MC5R
P33121,ACSL1
P33151,CDH5
P33527,ABCC1
P33681,CD80
